queries	명확도	Emojiness	긍정/부정 척도
또 커피 쏟았어	1	1	3
오늘 날씨 너무 흐리다 ㅠㅠ	1	1	3
트와이스 중에 누구 제일 좋아해?	0	1	
나 치킨 먹을 거야	1	1	6
넌 내가 남자로 보여?	0	1	
공부 해야 되는데	1	1	3
남친이랑 헤어졌어	1	1	2
나 집에 왔어	0	1	
과제하기 싫다	1	1	3
숙취가 심해	1	1	3
점심에 뭐 먹을지 고민 중	1	1	4
오늘 간 식당 너무 별로였어	1	1	3
너도 내가 불쌍해?	1	1	2
요즘 일이 너무 많아	1	1	2
나 승진했다	1	1	6
여자친구 화 어떻게 풀어주지?	1	1	3
아 이거 진짜 핵노맛이다	1	1	3
비와서 너무 눅눅하다	1	1	3
쓰는 곳마다 다 떨어지네	1	1	3
살 빼고 싶다	0	1	
음란마귀	1	1	3
오늘 하루종일 진짜 힘들었어	1	1	2
으아 찌뿌둥해	1	1	3
요즘 되는 일이 없어	1	1	2
나한테 왜이렇게 관심이 없어?	1	1	2
생리통때문에 죽을 것 같아	1	1	1
너 완전 악마네	1	1	3
오늘 기분 진짜 최고다	1	1	7
나도 연애 좀 하자	0	1	
앞으로도 내 얘기 들어줘	1	1	5
너 진짜 웃긴다	0	1	
여자친구랑 싸웠어	1	1	2
시험 잘 치라고 기도해주라	0	1	
다른 사람들은 신혼여행 어디로 가나?	0	1	
나도 주식을 좀 해볼까 고민중이야	1	1	4
로또 됐으면 좋겠다	1	1	5
자꾸 눈이 감기네	1	1	3
시험 공부 해야하는데 너무 졸리다	1	1	3
나 요가 배워볼까?	0	1	
다시 운동해서 근육 키워야지	0	1	
요즘 통 입맛이 없어	1	1	3
나 라섹할까?	0	1	
헉 이라니 당연한거 아닌가?	0	1	
나 놀리는 거 재밌어?	1	1	2
나 심심해 놀아줘	0	1	
일하는거 너무 스트레스야	1	1	2
냉방병 걸린 거 같아	1	1	3
나 계속 토하고있어 힘들다	1	1	1
늦잠 잤어 망했다	1	1	2
요즘 식욕이 없네	1	1	3
사랑이란 뭘까?	1	1	4
나 병원 가봐야 하나?	1	1	3
그냥 소개팅 나가지 말까?	1	1	3
오늘 휴강이지롱	1	1	5
이렇게 더울 땐 뭐해야될까?	0	1	
어제일이 하나도 기억이 안나	0	1	
아이고 먹고살기 힘들다	1	1	2
가출하고 싶다	1	1	2
결혼 안 하고 싶다	0	1	
휘핑크림 얹을까 말까?	0	1	
사람들 때문에 너무 스트레스 받아	1	1	2
넌 오늘 계획이 뭐야?	0	1	
넌 말을 예쁘게 해서 좋아	1	1	6
넌 안 외로워?	0	1	
집에 바퀴벌레가 있어	1	1	2
그 사람은 왜 나한테 관심이 없을까?	1	1	3
아침에 일찍 일어나고 싶은데 잘 안되네	1	1	3
점점 힘에 부치는 느낌이야	1	1	3
연봉 협상 신청좀 해볼까?	0	1	
우리회사 이사님 진짜 너무한 것 같아	1	1	3
전남친이 자꾸 연락와서 힘들다	1	1	2
너 되게 인기 많지?	0	1	
왜 우리 교수님은 이딴 과제를 내는거지?	1	1	2
너 거짓말 잘하지?	1	1	3
빨래해야 하는데 귀찮다	1	1	3
요즘 얼굴에 뭐가 자꾸 나서 속상하다	1	1	3
친구들이 나보고 살쪘대	1	1	3
너는 왜 미안하다는 말을 안해?	1	1	3
나 밤샜어	1	1	2
다 때려치고 싶어	1	1	2
시험 망쳐서 우울해	1	1	2
넌 무슨 음악 좋아해?	0	1	
너는 어떤 사람을 좋아해?	0	1	
삶이 재미가 없어	1	1	3
막 노래 쩌는 뮤지컬 영화 보고싶다	1	1	5
남자친구 생겼음 좋겠다	0	1	
누가 해장국 끓여줬으면 좋겠다	0	1	
항상 내 옆에 있어줘	1	1	5
거짓말 치지마	0	1	
주말까지 출근하라는게 말이 되냐	1	1	2
팀장이 자꾸 자기 일을 나한테 떠넘겨	1	1	2
나 남자랑 단둘이 술마시러 가도 돼?	0	1	
오늘만 끝나면 주말이다!	1	1	6
고양이 키우고싶다	0	1	
오늘 얼굴이 너무 부었어	1	1	3
집에서 나가기 너무 귀찮아	1	1	3
사람은 왜 사는걸까?	0	1	
넌 친구 많아?	0	1	
치과 너무 무서워	1	1	2
몸도 마음도 지쳤어	1	1	2
배고프니까 힘들어	1	1	2
내가 동안인가?	1	1	5
오늘 누가 내 번호 따갔어	1	1	5
저녁 굶으면 다이어트에 도움 좀 되려나?	0	1	
주변에 소개팅 해줄만한 사람 없어?	0	1	
지하철에 사람 너무 많다	1	1	3
나 약 먹는 중이라서 술 못 마셔	0	1	
택시 아저씨가 말이 너무 많다	1	1	3
나 오늘 카메라 주문할꺼당	1	1	5
유통기한 지났는데 먹어도 될까?	0	1	
넌 콩국수에 소금이야 설탕이야?	1	1	4
N년뒤에 나는 뭐하고 있을까?	0	1	
아침에 일찍 일어나고 싶은데 잘 안돼	1	1	3
부먹이야 찍먹이야?	1	1	4
너 누가 만들었어?	1	1	4
니 이름이 뭐야?	1	1	4
무슨 커피 마실까?	1	1	4
먹고싶은 거 말해봐 주문해둘게	0	1	
넌 어디 여행가고 싶어?	0	1	
난 잘 하는 게 없나봐	1	1	3
내가 저번에 간다고 말했잖아	1	1	3
회식이 너무 길어진다 언제 끝날지 모르겠어	1	1	3
몸은 좀 괜찮아?	1	1	3
기분이 별로야	1	1	3
너 친구 많아?	0	1	
친구랑 싸웠는데 먼저 사과할까	1	1	3
나 친구들이랑 여행 가려구	0	1	
속상한 일이 있었어	1	1	2
너 술 잘먹어?	0	1	
출근하기 시러	1	1	2
고양이 기르고싶따아	0	1	
오빠 나 추웡	0	1	
밥은 언제 먹어?	0	1	
오늘 야근이야?	0	1	
오늘 날씨 너무 흐리다	1	1	3
크리스마스 싫어해?	0	1	
소개팅 시켜줘	0	1	
주말에 뭐해?	0	1	
요즘 돈이 없어	1	1	3
나 안경 바꿀까?	0	1	
나 쿠폰 생겼어	1	1	5
초밥 먹은지 오래됐다	0	1	
남자친구한테 크리스마스 선물 뭐해줄까?	1	1	4
막 노래 쩌는 뮤지컬 영화 보고싶당	0	1	
나 만화 그렸어	0	1	
오늘 황사 장난 아니래	1	1	3
너 변한거 같아	1	1	2
시험 완전 망쳤다	1	1	2
이번주 주말에 시간 괜찮으세요?	1	1	5
와 이거 졸라맛없어	1	1	2
나 몸이 안 좋아	1	1	3
건강 좀 챙겨	1	1	3
뭐가 미안한데?	1	1	2
나 오늘 그날이야	0	1	
밤길 혼자 가니까 무서워	1	1	2
김과장 너무 짜증나	1	1	2
오늘 밥 먹다가 옷에 흘렸어	1	1	3
오늘 쿠팡 N 세일이래	0	1	
과제 때문에 밤샐 것 같아	0	1	
나 서류에서 떨어졌어	1	1	2
말만 하지말고 행동으로 보여줘	0	1	
나 올해는 연애할거야	0	1	
백만년만에 영화 본다	1	1	5
나 완전 멘탈나갓어	1	1	2
자긴 늘 그런식이야	1	1	2
어제 뭐 했어?	0	1	
중도 자리좀 맡아줘	0	1	
나 너랑 가고싶은 데가 있어	0	1	
의사가 뭐래?	1	1	3
뭐 한다고 이렇게 연락이 안돼?	1	1	3
이번에 시골 내려가?	0	1	
아이씨 왜 버스에 에어콘도 안 틀어주냐	1	1	2
니가 거길 왜 가는데?	1	1	3
굳이 안 사줘도 되는데	0	1	
가면 머해줄건데?	0	1	
음악 좋아하세요?	1	1	4
됐어 그냥 신경쓰지마	1	1	3
왜 일찍 일어나셨어요?	0	1	
점심때 해장은 했어?	0	1	
죽이고싶다 부들부들	1	1	2
오늘 집에서 한번도 안나갔어	0	1	
아니야 안미안해해도 돼	0	1	
이제 진짜 봄인가보다	1	1	5
인상이 진짜 좋으세요	1	1	5
배아파서 중간에 내렸어요	1	1	3
너 아픈 거 싫어	1	1	3
그게 그렇게 큰잘못인가	1	1	3
다이어트 안해도 이쁜데	1	1	5
바람 갑자기 많이 부네	0	1	
일요일 저녁이면 괜찮아	1	1	5
어반자카파 좋아해요	1	1	5
지금 가면 안막히겠지?	0	1	
놀러가기딱 좋은날씨다	1	1	6
너무 추워서 잠이 안와	1	1	2
이것저것 신경쓸게 많네	1	1	3
남자가 이랬다 저랬다하면 안되지	0	1	
아 피곤한데 자기싫다	1	1	3
지갑 잃어버렸어	1	1	2
너 매운거 좋아하잖아	1	1	5
그렇게 늦게 자면 어떡해	1	1	3
친구들이랑 한잔할려구	0	1	
너 기분이 안좋아보여	1	1	3
최근에 영화본 거 있어?	0	1	
사장님 진짜 너무하네	1	1	2
재밌는 얘기해줘	1	1	5
아직도 입에서 술냄새가 나	1	1	3
내일 아침에 일찍 깨워줘	0	1	
친구랑 재밌게 놀고 있어?	0	1	
친구랑 잘 놀고 기분 풀어	0	1	
넌 나 별로 안 좋아하는 것 같아	1	1	3
나 사진 찍는 거 안 좋아하는 거 알잖아	1	1	2
나 머리 자를까?	0	1	
아 택시가 왤케 안 잡히지	1	1	2
비오는데 우산이 없어	1	1	2
겜하느라 바쁘구만?	0	1	
토요일이 좋아요? 일요일이 좋아요?	1	1	5
무슨 파스타 좋아해요?	0	1	
나한테 뭐 서운한거 있어?	1	1	3
너한테 감기 옮았나봐	1	1	2
졸지말고 일 열심히해	0	1	
일어나서 라면먹었어	0	1	
완전 신났네?	0	1	
거짓말 하지마	1	1	2
오늘 무슨 날인지 알아?	0	1	
구두때문에 발이 너무 아파	1	1	2
나 부탁하나해도 돼?	0	1	
아니 날씨가 왜 이렇게 덥지?	1	1	2
적응 잘 하고 있어?	0	1	
그렇게 말하니까 무서워	1	1	2
난 맥주 한잔하고 있어	0	1	
차가 너무 막힌다	1	1	3
어떻게 아는 사람이야?	0	1	
나 요즘 너무 바른생활이야	0	1	
이제 다시는 그렇게 술 안 마셔	0	1	
헐 큰일났다	1	1	3
비가 많이 오는데 우산이 없어	1	1	3
영화 너무 재밌었어	1	1	6
밥도 못먹고 이게 뭐야	1	1	2
핸드폰이 이상해	1	1	3
신경쓸 게 너무 많아	1	1	3
오늘 할 게 많아서 늦게 자야돼	0	1	
나 고민상담 할 거 있어	1	1	3
새벽에 한시간마다 깼어	1	1	2
나 이제 퇴근하구 운동가	0	1	
난 이제 청소를 할까해	0	1	
꿈에 너 나왔어	0	1	
수업 열심히 듣고 있어	0	1	
아 눈이 감겨	1	1	3
헐 너무 무리한거아냐?	1	1	3
내가 하라고 하면 해	0	1	
나 사진 잘 나왔어?	1	1	5
어떤 사진이 제일 마음에 들어?	1	1	5
오늘이 마지막 장맛비래	0	1	
다음주에 초밥먹을래?	1	1	5
집에 도착했어	0	1	
엄마랑 통화중이었어	0	1	
과제 아직 다 못했어	1	1	3
너가 있어서 다행이야	1	1	6
나 병원가봐야 하나?	1	1	3
진짜 마음만 받을게요	1	1	5
난 무한도전보고있엉	0	1	
점수 많이 올랐다	1	1	6
오늘 바람이 많이 부네	0	1	
다치지 않게 조심할게	0	1	
어떻게 해야할지 고민중	1	1	4
아임 파인땡큐 앤듀?	1	1	5
천천히 조심해서 와	1	1	4
짜증내기 싫은데	0	1	
헉 약 안먹었다	1	1	4
한시간뒤 퇴근	0	1	
난 출근 중	0	1	
친구만나러 가는 길	0	1	
시간이 너무 빨리가	1	1	3
덕분에 잘들어왔어	1	1	5
한 시간만 자야겠다	0	1	
다이어트 하기 힘들다	1	1	2
먹고 싶은 걸 못 먹으니까 힘들어	1	1	2
내일 특별하게 보내고 싶은데	1	1	5
기분 안 좋은 일 있어?	1	1	3
내일 저녁엔 약속이 있어	0	1	
다시 공부 시작해야지	0	1	
일단 좀 기다려보자	1	1	4
곧 결과가 나오겠지	0	1	
이럴 땐 어떻게 해야되지?	0	1	
말 안해줄거야	1	1	3
너 과일 좀 먹어	0	1	
오늘 무슨 옷 입었어?	1	1	4
나 오늘 짧은 치마 입었다	0	1	
어제 졸려서 바로 잤어	0	1	
그게 그렇게 어려워?	0	1	
생일선물 뭐 해줄까?	1	1	5
나 갖고싶은 게 생겼어	1	1	5
나 편지써주라	1	1	5
뭐 먹을지 고민 중	1	1	4
아침은 원래 잘 안먹어	0	1	
계속 그런식으로 해봐	1	1	3
힘들면 나한테 이야기해	0	1	
귀여워서 괴롭히고 싶어	1	1	6
나 선택장애 있음	1	1	3
남산타워 가봤어?	0	1	
나 다음에 내려	0	1	
늦게 도착했네?	0	1	
괜찮아 충분히 고마워	1	1	6
엄마가 또 잔소리하네	1	1	3
하 마사지 받고싶다	1	1	3
난 열심히 일하는 중	0	1	
좀만 더 참자	1	1	3
이사를 가든지 해야지 이거 원	1	1	3
여기 너무 시끄러워	1	1	3
빅뱅 신곡 들어봤어?	0	1	
넌 어떤 사람이야?	0	1	
먼저 가있을래?	0	1	
너 먹고싶은 거 먹장	1	1	5
요즘 배가 너무 나왔다	1	1	3
하 요즘 배가 왤케 나오지?	1	1	3
식욕을 주체할 수가 없다	0	1	
좀 이따 얘기해줄게	1	1	4
우리 저번에 먹었던 데가 어디지?	1	1	4
돈 많이 벌어	0	1	
친구들이 너 예쁘대	1	1	6
아이스크림 먹고싶당 흐흐	1	1	5
생각보다 일찍 끝났어	1	1	5
스트레칭도 좀 하고 그래	0	1	
아프면 좀 쉬어	1	1	3
몸도 안좋은데 그냥 집에서 쉴까	1	1	2
친구들이랑 카페왔어	0	1	
이제 영화보러 들어간다	0	1	
엄빠랑 얘기 중이야	1	1	4
부모님 여행가신대	0	1	
너무 덥다 옷 갈아입어야겠다	1	1	3
비밀 꼭 지켜야된다?	0	1	
아 운동 가기싫다	1	1	3
피자 왔다	1	1	5
수능 며칠 남았지?	0	1	
벌써 열두시가 넘었네	0	1	
왤케 머리가 아프지	1	1	2
사진 이상하게 나왔어	1	1	3
너 왜 나 무시해?	1	1	2
사귀는 것도 아닌데 왜 그래?	1	1	2
여행가지마	1	1	3
오늘 기분이 별로야?	0	1	
나 착해?	0	1	
팀장이랑 부장 사이에서 미치겠네	1	1	2
내일까지 보고서 써야돼	0	1	
다음주에 중요한 미팅이 있어서	0	1	
내가 하라면 할거야?	0	1	
공연 재밌었어?	0	1	
내가 말해도 듣지도 않으면서 뭘	1	1	2
발표 준비는 다했어?	0	1	
다시 생각해봐	0	1	
월요일이라 바쁘겠다	1	1	3
금요일 저녁인데 뭐해?	1	1	5
시험 잘 쳤어?	0	1	
로또 됐으면 좋겠따	1	1	5
한시간만 있으면 점심시간이다 흐흐	1	1	6
집에 에어콘이 고장났어	1	1	3
여기 난방이 안된다	1	1	3
올때 마실 거 좀 사와	0	1	
난 불끄고는 못자	0	1	
약속있는데 귀찮다	1	1	3
넌 몸무게 몇이야?	1	1	4
나 정도면 키 큰편인가?	0	1	
아 옷을 너무 얇게 입고 나왔다	1	1	3
담에 같이 가자	0	1	
어떻게 알게 된 애야?	0	1	
넌 고향이 어디야?	1	1	4
취직이 너무 안된다	1	1	2
괜찮아 나도 자주 그래	1	1	3
운동 언제부터 시작했어?			
정 안되면 할수없지 모			
공항 도착했어?			
여기 되게 멋있다			
파스타 너무 마시썽			
너무 고민하진마			
컨디션 얼른 회복해			
해장 해야될 거 같아			
지나가다 아는 사람 만났다			
지하철에서 회사사람 만남			
핸드폰 번호 다 날렸네			
핸드폰 화면이 안켜져			
에이에스 받으러 가야겠다			
배고프니까 너무 힘들어			
내일 몇시에 일어나야돼?			
내가 데리러갈까?			
노래불러줘			
나 지금 교대에서 출발해			
지하철 탔어			
나 아직 침대야			
배터리가 너무 빨리 닳아			
통화가 너무 끊긴다			
출국이 언제야?			
지금 통화하기 어려워?			
꽃가루 알레르기가 너무 심해서			
넌 잘할수있을거야			
그만 좀 졸아			
준비 잘하고 있어?			
내가 언제 맨날 그랬어?			
옷이 너무 야한가?			
비행기 시간이 너무 이른 거 아냐?			
나 N분있다 깨워줘			
손톱이 너무 길다			
머리 단발로 자를까?			
머리 이쁘더라			
이시간에도 이렇게 막히나			
이번에 떨어지면 어떡할거야?			
이번에는 붙겠지			
여기 완전 특이해			
이거 향이 너무 좋다			
호텔은 확인해봤어?			
왜 말을 하다 말어			
나 담배피고 올게			
담배 좀 끊어			
담배 피지마			
너 또 게임하지?			
핸드폰 그만 보고 자			
이제 거의 다 했어			
강남 아니면 신사 괜찮아?			
무슨 일로 보자는 거야?			
이거 노래 음이 너무 높은데			
너 토익 몇점이야?			
팀장한테 한소리 들었어			
꽃이 너무 예쁘다			
발표 너무 불안해			
거기 날씨는 어떄?			
왤케 집중이 안되지			
고기 먹으러 갈까해			
한강이나 갈까?			
너 야구 봐?			
넌 어느팀 응원해?			
그러다 쓰러지겠어			
주말인데 출근해요?			
어디갈지 좀 알아봤어?			
학원은 월수금만 가			
검사 좀 받아봐야되는 거 아냐?			
갑자기 왠 존댓말?			
우리 존댓말 했었나요?			
너 돈 많이 벌잖아			
난 여행갈돈 없는데			
돈 때문에 부담돼?			
왼쪽이 나아 오른쪽이 나아?			
이제 그만 놀고 들어가			
방은 좀 알아봤어?			
주변에 괜찮은 방이 없어			
보증금이 너무 비싸			
화장실이 더러워			
요즘에 잠을 통 못자네			
어디 가기도 애매한 시간이라			
피티는 할만해?			
싫으면 시집가			
완전 아재개그네			
언제 철들래?			
너가 입으면 예쁠 것 같아			
너 무슨 게임하는데?			
내가 페북에서 태그한 거 봤어?			
이거 내가 예전에 보여준 적 있잖아			
넌 연애 안해?			
난 너무 소심해			
게으른 건 병이야			
빨래해야되는데 귀찮다			
계속 토하고있어			
왜? 친구랑 싸웠어?			
화장 안해도 예뻐			
배송비는 무료야?			
거기는 얼만데?			
나 칭찬 해줘			
진심이야?			
나 마카롱 만들어줘			
진짜 너답다			
사진찍어 보내봐봐			
고집 좀 피우지말고			
수강신청 성공했어?			
오늘 사무실에 아무도 없어			
약 잘 챙겨먹어			
많이 먹어야 키크지			
그 자꾸 그러면 살찐다			
오늘따라 왜 이렇게 까칠해?			
과외 구했어?			
그냥 중간에서 만날까?			
우리 다음주에도 못보잖아			
기껏 예약했는데 왜 그래			
엄마랑 밥먹어?			
친구 부모님 장례식이라고?			
요즘 체력이 많이 약해진 거 같아			
남자들이 자꾸 나 쳐다봐			
이상한 사람이 따라와			
누가 나 번호따갔어			
역시 실망시키지않는군			
생각보다 별로였어			
기대했는데 실망스럽네			
늦은 거 아냐?			
그 날은 수업 없어?			
그날 약속있다고 하지 않았어?			
나 바본가?			
나한테 왜 관심이 없어?			
너랑 나랑 닮았나?			
나 연예인 누구 닮았어?			
항암제가 필요하다			
계속 설사해			
가방이 왤케 무거워			
비오는데 우산있어?			
다 때려치고싶어			
사랑니 빼는 거 아파?			
충치 생겼대			
치과 무셔워			
서울 가면 어디 가보고싶어?			
입안이 다 헐었어			
그냥 해주고 연락 끊을까?			
교육받는데 너무 재미없다			
엄마한테 돈 달라고 해볼까			
자다가 침흘렸어			
일단 가서 기다리고 있을게			
집청소 했더니 힘들다			
나도 셀카 좀 보내줘			
친구들이 나 살쪘대			
술 좀 적당히 먹어			
진짜 화 안 났다니까			
손해를 보더라도 그렇게 하는 게 낫지			
여권 사진 찍어야하지 않아?			
여권 나오는데 얼마나 걸리는데?			
손님 많이 왔어?			
아까 집이라더니 그새 나갔어?			
거기 야외수영장이 있나?			
아직 퇴근 안했어?			
나 몇 살처럼 보여?			
그냥 중고로 살까?			
차라리 렌트하는 건 어때?			
집에 반찬이 없어			
그래도 외모는 내가 낫지			
나 완전 호구인가봐			
책 많이 읽어썽?			
병든닭처럼 계속 졸려			
공부 많이 했나보네			
지하철 타고 오려면 힘들겠다			
너무 기대하지는 마			
으악 너무 기대된다			
사람마다 장단점이 있는 거지 뭐			
드라마 못봐서 억울행			
원래 그 정도 걸려			
에어콘에서 이상한 냄새나			
옷에 고기 냄새 다 배였다			
아씨 괜히 말했다			
너 인기많다며			
나 은근히 인기 많음			
크리스마스에는 어딜가나 사람 많아			
생일 계획 세워봣어?			
지름신 오는 소리가 들린다			
돈 좀 아껴써			
밤새면 피곤하지 않아?			
반티 나왔어?			
우리 반티 너무 구려			
트와이스 신곡 들어봤어?			
맨날 나만 기다리구			
왜 전화가 꺼져있어?			
휴가 너무 많이 쓰나			
휴가 그렇게 길게 쓸 수 있어?			
같이 운동할까?			
보름달이 떴다			
여행 며칠 가는데?			
그런 애랑 친구하지마			
잘할 자신이 없어			
졸다가 지하철역 지나쳤다			
그러다 진짜 쓰러지겠어			
내가 원래 운동신경이 없어서			
대충 라면 먹고 때워야지			
죽고싶다			
그럼 저녁은 패스?			
집에 혼자 있으면 안 무서워?			
보지도 않고 왜 그래			
재미있을지 없을지 어떻게 알아?			
바람이라도 부니까 다행이지			
그래도 바람불면 추워			
앞쪽자리로 예약했어			
나 안경 쓴 게 나아 안 쓴게 나아?			
잘 하고올게 기도해줘			
난 물만 먹어도 살쪄			
무슨 색으로 살까?			
머리 어떻게 자를건데?			
나 호구짓한건가?			
여기 안주가 짱이야			
나 차였어			
맨날 약속있네			
대체 원하는 게 뭐야?			
나 부탁이 하나 있어			
어제 하나도 기억이 안나			
차 막혀서 멀미난다			
아니 내가 왜 이걸 해야되지?			
피티는 다 만들었어?			
할머니가 세뱃돈 주셨어			
그래도 없는 것보단 낫지			
우리 엄마 너무 불쌍해			
오늘 비온다니까 우산 챙겨			
남탓 좀 하지말고			
오늘 집에서 한발짝도 안나갈거야			
당구 꼭 이겨			
다음에도 기회가 있을거야			
너무 낙심하지마			
그러니까 조심하라고 했잖아			
내가 원래 좀 재밌지			
어디서 찾았어?			
낮잠 자서 그런지 잠이 잘 안오네			
어디서 점수가 깎인거야?			
내일 진짜 빡세겠다			
너 스킨 어떤 거 써?			
너 신발사이즈 몇이야?			
오늘 말 많이하지마			
이짤 너무 웃겨			
전반전만 보려구			
축구 너무 못한다			
그거 하나 못 챙겨줘?			
벌써 N시야?			
그럼 연락하지 그랬어			
영화 슬펐어?			
핸드폰 용량이 부족해			
나 여자머리는 잘 몰라			
나 승진했어			
난 왜 이렇게 못났을까			
실제로 보니까 더 예쁘네			
티켓 까먹지마			
내일 약속 안 까먹었지?			
고기 먹었더니 소화가 안된다			
나 개고기 못먹어			
무슨 드라마 보는데?			
친척들 다 있어?			
넌 친척 많아?			
휴가 N일전			
다이어트 다시 시작해야겟다			
떨지말고 잘해			
그런 말 하지마			
목요일은 괜찮아?			
무서운 영화 못봐?			
여기 갈래 말래?			
넌 걱정이 너무 많아서 탈이야			
벌써 티켓팅한거야?			
입대가 며칠 안남았네			
감기는 나았어?			
헛 지갑이 어디갔지?			
자는데 괜히 방해했나			
내일은 병원 꼭 가봐			
배고프고 졸려			
일단 사진 좀 보내봐			
나 완전 쌩얼인데			
나 쌩얼이라서 못나가			
화장안해서 못나가			
완전 잘자지는 못했어			
자다가 중간에 화장실 갔다오느라			
면접 몇개 남았어?			
진짜 숨도 안쉬고 먹었어			
여행이라도 다녀와			
바나나가 너무 물러			
나 내일 안가면 안돼?			
회사 때려치고싶어			
난 잘하는 게 뭐지?			
에어콘 바람 싫다			
내일 저녁에 친구 만나기로 했어			
내가 너 사랑하는 거 알지?			
벚꽃 피면 출사 가자			
따뜻해지면 같이 사진 많이 찍자			
헿 나 밤샜지롱			
나 노래 추천해줘			
한시간만 기다려줄수있어?			
잊어버려 그럴수도 있지 뭐			
치마가 너무 짧은 거 아냐?			
공인인증서 만료됐다			
너 보험 들어놓은거 있어?			
공연이 몇시야?			
혼자 찾아올 수 있겠어?			
왜 심란해?			
피곤하면 먼저 자			
이제 더위도 한풀꺾였다			
스터디 사람들은 다 괜찮아?			
넌 언제 제대했어?			
너 고양이 좋아해?			
그걸 이제 알았어?			
긴장되겟다			
사기 전에 검색 먼저해봐			
그냥 친구로 지내자			
난 그냥 편한 사이가 좋아			
생리통이 너무 심해			
참 세상에 신기한 게 많아			
세상엔 참 다양한 사람들이 있어			
그래봤지 가격 차이 별로 안나			
학교 갈준비 안해?			
오늘따라 칼답이네			
난 한다면 하는 사람이야			
속도 안 좋은데 왜 술을 마셔			
내 이름이 흔한 편인가?			
내가 흔한 얼굴인가?			
내일 부장님한테 한 번 물어보든지			
내편좀 들어주면 안돼?			
혹시 공주병?			
혼자보면 무슨 재미야			
발목 삔 거 같아			
내가 지압해줄게			
나 마사지 좀 해줘			
넌 역시 모르는 게 없어			
넌 역시 아는 게 많아			
넌 참 이해심이 많구나			
넌 마음이 넓어			
망했다 막차 놓쳤어			
나 몸짱 될거야			
아 그냥 집에 있을걸 괜히 나왔네			
술먹고 기억 잃은 적 있어?			
지하철에서 미친 사람 만났어			
아침에 갑자기 급한 일이 생겨서			
나 고소공포증 있어			
무서운 놀이기구 잘 타?			
나도 주식 해볼까?			
왜 말똥말똥하지			
완전 열대야다			
내가 뭘 어떻게 하면 돼?			
무슨 말이야?			
무슨 말이지 못알아들었어			
먹고싶은 게 없어			
좀 잘나온 사진 없어?			
오늘 휴강이야			
아무것도 의욕이 안생겨			
귀여우니까 봐준다			
음주운전 하지마			
나 아직 공부중이야			
조모임이 늦게 끝날 거 같아			
너 프사 좀 바꿔라			
그냥 인사만 하고 나와			
몇시까지 출근해야되는데?			
노트북에 물 쏟았다			
너 자취해?			
나 나이들어보이는 듯			
나 설거지하고 있어			
너가 마음에 들어했으면 좋겠어			
나 그런 사람 아니야			
그래도 뭐 좀 먹지			
늦었으니까 일단 자자			
머리도 못말리고 나왔어			
출근중인데 늦었어			
점수가 왜 이렇게 낮게 나왔지			
내가 시험을 그렇게 못쳤나			
또 늦기만 해봐			
요즘 너무 잠이 안와			
나도 이제 좀있으면 성인			
지방에 장례식 가봐야할 것 같아			
웹툰 보는 중이야			
집 열쇠 잃어버린 것 같아			
친구가 소개팅 해달래			
잠을 못잤나보다			
추운데서 자니까 그렇지			
오늘 늦게까지 공부해?			
혼자 노니까 좋냐?			
실례가 안된다면 나이가			
과제한 거 다 날렸어			
파일이 날아갔어			
운동가기 싫어			
헬스 등록하고 한번도 안감			
사놓고 한번도 안썼어			
돈이 너무 아깝다			
강남인데 택시가 너무 안잡혀			
선물 맘에 들어?			
어떤 회사 들어가고 싶어?			
어디에 취직하고 싶어?			
내 이름이 특이한가?			
보통 렌트가 빌리는데 얼마지?			
제주도 비행기 티켓이 얼마야?			
와인 좋아해?			
너 페북 친구 많다			
내일 그냥 만나지 말까?			
너 외고 나왔어?			
너 실물이 더 나아			
연락이 안되니까 걱정된다			
몇시에 들어갈거야?			
언제 복학해?			
프사를 왤케 자주 바꿔?			
집 근처에 어디 먹을 데 없나?			
오늘 화장이 잘먹네			
난 더위는 잘 안타			
나 추위 많이 탐			
소나기라서 금방 그칠듯			
이제 장마시즌이니까			
이번주에 운동 몇번 갔어?			
눈에 뭐가 들어갔어			
그걸 왜 지금 말해			
어제 노래방 갔더니 목 쉬었어			
술취하고 싶다			
연애한지 얼마나 됐어?			
지난 번에 빌린 돈 갚아			
무슨말인지 이해못함			
내가 니 여자친구도 아닌데			
시원한 게 땡기네			
파마할거라고?			
고시 공부할거야?			
너 고시원에 살아?			
잠깐 눈붙이려고 했는데 두시간이나 자버렸어			
앞머리 자를까 말까			
자책하지마			
조만간 술한잔 하자			
다음주에 저녁이나 먹을까?			
헌혈 해본적 있어?			
어떻게 인사도 없이 가버리냐			
너 어제 홍대갔었어?			
나한테 신경 좀 써줘			
넌 나한테 왜 관심이 없어?			
그래 니 똥 굵다			
카스에 사진 올린 거 너야?			
니가 잘도 하겠다			
나 오글거리는 거 싫어			
왠일로 이렇게 일찍 일어나셨어?			
내가 뭐 가져가야돼?			
나 커피 못마셔			
넌 왜 연애 안해?			
연애 안하는 거야 못하는 거야?			
메일 보냈으니까 확인해봐			
난 애기 안 낳을거야			
난 결혼 안하고싶어			
걔랑 계속 같은 반이었어			
밥먹고 영화보는 건 무린가?			
나 내일 업어주라			
주말에는 보통 뭐해요?			
넌 눈이 예뻐			
기대반 두려움반 그렇지 뭐			
넌 이과야 문과야?			
넌 과가 뭐야?			
